event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
1,1,16,507.318,174.015,31.906,-189.367,10,33054268.775
1,2,16,220.718,178.012,45.784,-190.527,20,33054268.823
1,3,16,271.964,178.797,50.009,-213.929,30,33054268.902
2,1,21,509.795,31.281,257.847,-157.320,43,80504300.648
2,2,21,173.057,25.931,261.648,-157.897,43,80504300.670
2,3,21,125.290,25.937,261.876,-157.970,43,80504300.671
2,4,21,191.857,27.305,255.077,-167.360,43,80504300.710
3,1,7,122.165,-73.972,-27.688,-229.966,01,20097588.369
3,2,7,680.366,-94.087,-46.317,-264.498,31,20097588.516
3,3,7,6.206,-88.268,-41.634,-258.426,31,20097588.548
3,4,7,24.965,-88.112,-41.995,-258.369,31,20097588.549
3,5,7,37.336,-87.019,-42.242,-257.853,31,20097588.553
3,6,7,15.945,-87.010,-42.272,-257.872,31,20097588.554
3,7,7,113.017,-85.449,-42.155,-258.680,31,20097588.559
4,1,37,526.200,-21.763,-255.241,-153.566,42,274119284.388
4,2,37,179.895,-21.229,-255.409,-153.661,42,274119284.390
4,3,37,100.020,-15.254,-247.909,-155.619,42,274119284.423
4,4,37,75.666,-14.928,-246.685,-152.129,32,274119284.435
4,5,37,12.985,-16.006,-247.953,-153.852,42,274119284.443
4,6,37,105.234,-15.805,-253.286,-152.925,42,274119284.461
5,1,21,607.938,-5.628,199.319,-132.290,02,76627951.557
5,2,23,392.062,-49.939,176.913,-195.002,22,76627951.824
6,1,1,65.595,87.845,113.403,-285.690,55,112659902.041
7,1,14,163.157,84.353,-46.424,-218.578,00,165863741.350
7,2,14,622.747,86.594,-48.507,-221.296,00,165863741.364
7,3,14,86.108,86.433,-48.116,-221.237,00,165863741.366
7,4,14,127.989,95.628,-54.762,-212.965,01,165863741.412
8,1,37,441.852,-46.189,-204.133,-176.673,35,24507055.675
8,2,37,209.420,-44.685,-223.655,-172.776,34,24507055.742
8,3,37,141.432,-28.668,-228.372,-173.957,35,24507055.797
8,4,37,51.197,-32.041,-244.990,-153.369,32,24507055.886
8,5,37,8.596,-33.340,-246.284,-154.172,43,24507055.893
8,6,37,23.171,-40.556,-252.957,-152.190,43,24507055.927
8,7,37,124.331,-40.547,-252.957,-152.192,43,24507055.927
9,1,25,665.251,-118.865,206.348,-138.832,32,155223448.298
9,2,25,16.716,-117.851,206.509,-135.558,22,155223448.309
9,3,25,5.617,-120.586,204.644,-124.463,22,155223448.348
9,4,25,59.300,-123.468,202.749,-119.945,22,155223448.367
10,1,22,395.035,29.819,203.065,-215.622,41,350250160.171
10,2,22,415.135,32.052,203.532,-217.798,41,350250160.182
10,3,22,189.830,20.995,190.124,-208.026,30,350250160.248
11,1,23,7.353,-42.670,234.899,-218.960,55,14614093.917
11,2,23,106.946,-42.420,232.592,-213.619,55,14614093.937
12,1,24,577.697,-142.690,162.267,-146.009,25,145849866.320
13,1,16,34.754,151.173,39.716,-220.788,25,68451435.100
14,1,10,322.794,46.671,-118.449,-221.802,13,107523768.620
14,2,10,308.571,29.992,-120.632,-264.131,33,107523768.772
14,3,38,133.884,-26.862,-188.648,-263.558,52,107523769.165
15,1,18,565.547,84.478,174.727,-165.768,11,44372878.240
15,2,18,131.221,98.442,169.073,-172.622,20,44372878.295
15,3,20,159.467,99.852,165.747,-217.442,35,44372878.445
15,4,20,143.766,99.415,164.792,-215.703,35,44372878.452
16,1,27,226.405,-186.889,74.228,-136.954,02,71927899.281
16,2,27,527.907,-200.601,69.517,-148.635,12,71927899.343
16,3,27,245.688,-199.739,68.898,-148.626,12,71927899.346
17,1,27,241.130,-229.079,67.788,-187.781,41,32944996.718
18,1,38,758.939,11.108,-162.416,-210.768,24,13598754.448
18,2,38,84.560,6.609,-160.361,-208.295,24,13598754.467
18,3,38,156.501,10.965,-161.857,-224.505,34,13598754.527
19,1,5,671.336,-32.582,126.309,-277.196,40,255746140.485
19,2,5,66.950,-43.876,159.501,-258.686,42,255746140.617
19,3,5,83.962,-35.776,174.144,-259.166,53,255746140.673
19,4,5,4.413,-38.243,175.563,-267.626,53,255746140.703
19,5,5,64.069,-38.075,176.055,-269.760,53,255746140.710
19,6,5,109.270,-38.183,175.740,-269.408,53,255746140.712
20,1,9,535.946,-40.943,-77.450,-252.741,21,124879265.830
20,2,9,464.054,-42.990,-70.819,-258.242,21,124879265.859
21,1,23,25.670,-27.875,149.885,-189.567,01,110450449.809
21,2,23,108.838,-27.899,163.583,-203.424,21,110450449.874
21,3,5,0.422,-31.191,171.147,-256.429,53,110450450.130
21,4,5,30.107,-31.151,170.957,-256.434,53,110450450.130
21,5,5,228.929,-32.935,164.766,-253.041,43,110450450.155
22,1,16,75.179,147.994,32.590,-203.723,15,26863586.792
