event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
1,1,8,474.506,-112.996,20.395,-220.284,04,51963134.391
1,2,8,352.402,-114.303,19.896,-220.434,04,51963134.396
1,3,8,66.481,-102.382,23.467,-216.932,05,51963134.439
1,4,8,106.611,-102.741,22.981,-217.034,05,51963134.441
2,1,37,29.796,-5.862,-188.550,-152.861,00,8075709.679
2,2,37,227.989,-3.972,-212.109,-178.558,30,8075709.796
2,3,36,530.507,8.074,-224.753,-192.389,40,8075709.870
2,4,37,19.617,-3.474,-218.318,-191.268,30,8075709.914
2,5,37,192.091,-3.798,-218.338,-191.113,30,8075709.916
3,1,4,411.289,-72.274,102.194,-259.717,35,282239621.596
3,2,4,110.199,-71.332,101.691,-261.927,35,282239621.604
3,3,4,42.465,-65.910,82.110,-278.890,40,282239621.692
3,4,4,232.356,-67.925,73.642,-284.507,41,282239621.727
3,5,4,20.510,-67.329,73.175,-283.129,41,282239621.732
3,6,4,43.470,-66.782,66.693,-278.991,41,282239621.758
3,7,4,139.711,-58.656,67.963,-274.722,31,282239621.789
4,1,24,723.239,-158.566,116.008,-135.537,03,21511145.255
5,1,22,478.460,30.275,134.870,-204.673,14,99884915.338
5,2,22,58.866,7.832,152.865,-218.144,24,99884915.444
5,3,22,21.105,-1.537,172.885,-235.767,45,99884915.538
5,4,22,102.050,-6.136,192.010,-243.918,55,99884915.609
6,1,38,752.426,-16.105,-153.427,-183.035,02,204810886.377
6,2,38,44.631,-13.507,-154.522,-178.395,01,204810886.395
6,3,38,202.943,-2.652,-158.504,-177.740,00,204810886.434
7,1,33,806.375,-159.807,-194.986,-204.133,50,272717119.316
7,2,33,56.133,-157.321,-192.380,-201.250,50,272717119.331
7,3,33,137.491,-161.409,-194.956,-198.419,50,272717119.350
8,1,6,93.251,-66.303,-21.386,-229.690,05,114253112.197
8,2,7,252.316,-99.251,-40.582,-283.376,41,114253112.417
8,3,7,275.387,-100.068,-53.514,-295.049,51,114253112.475
8,4,7,147.080,-90.567,-60.657,-295.535,51,114253112.514
8,5,7,99.331,-90.945,-61.421,-295.106,51,114253112.518
8,6,7,132.635,-90.925,-61.536,-295.481,51,114253112.519
9,1,10,46.900,42.329,-111.207,-216.341,13,90744476.449
9,2,10,16.526,41.988,-113.716,-221.387,13,90744476.468
9,3,10,165.060,41.089,-115.924,-225.324,13,90744476.483
9,4,10,184.138,44.573,-121.443,-236.200,23,90744476.526
9,5,10,206.984,56.422,-119.167,-251.605,33,90744476.591
9,6,10,73.401,55.062,-121.994,-257.350,33,90744476.613
9,7,10,22.763,54.815,-114.419,-271.398,42,90744476.666
10,1,31,627.734,-217.900,-71.242,-166.373,31,363285066.045
11,1,24,509.560,-160.535,114.949,-150.095,13,63266348.417
11,2,24,162.084,-152.519,154.384,-161.102,25,63266348.556
11,3,24,101.420,-155.474,156.976,-161.431,25,63266348.569
11,4,24,39.275,-154.882,163.198,-154.404,25,63266348.601
11,5,24,78.464,-158.445,164.117,-151.355,25,63266348.617
11,6,24,109.198,-157.835,163.964,-152.309,25,63266348.620
12,1,40,700.847,51.898,-143.216,-199.702,13,1674365.976
12,2,40,19.887,57.934,-133.641,-201.807,03,1674366.015
12,3,14,126.656,66.336,-98.669,-234.576,24,1674366.177
12,4,40,152.609,57.241,-156.089,-249.360,43,1674366.377
