event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1,0,1,8,831.02,-11.32,2.174,-21.948,4,51963134.396
1,1,3,8,187.11,-10.224,2.477,-21.61,5,51963134.441
2,0,4,37,28.382,-0.547,-18.683,-15.19,0,8075709.679
2,1,5,37,248.062,-0.361,-21.052,-17.767,30,8075709.796
2,2,6,36,510.627,0.843,-22.319,-19.151,40,8075709.87
2,3,8,37,227.861,-0.341,-21.674,-19.023,30,8075709.916
3,0,10,4,524.926,-7.172,10.366,-25.931,35,282239621.604
3,1,11,4,38.994,-6.553,8.38,-27.794,40,282239621.692
3,2,13,4,250.974,-6.752,7.519,-28.351,41,282239621.732
3,3,14,4,44.709,-6.64,6.838,-27.805,41,282239621.758
3,4,15,4,136.152,-5.829,6.958,-27.382,31,282239621.789
4,0,16,24,694.374,-15.821,11.757,-13.466,3,21511145.255
5,0,17,22,486.458,3.063,13.644,-20.379,14,99884915.338
5,1,18,22,61.153,0.821,15.453,-21.721,24,99884915.444
5,2,19,22,21.743,-0.114,17.465,-23.478,45,99884915.538
5,3,20,22,112.171,-0.577,19.364,-24.301,55,99884915.609
6,0,21,38,758.704,-1.575,-15.187,-18.216,2,204810886.377
6,1,22,38,43.722,-1.313,-15.284,-17.745,1,204810886.395
6,2,23,38,190.162,-0.229,-15.691,-17.685,0,204810886.434
7,0,25,33,885.281,-15.929,-19.326,-20.307,50,272717119.331
7,1,26,33,133.979,-16.104,-19.334,-19.752,50,272717119.35
8,0,27,6,90.565,-6.593,-1.975,-22.878,5,114253112.197
8,1,28,7,239.676,-9.889,-3.899,-28.249,41,114253112.417
8,2,29,7,277.111,-9.971,-5.193,-29.416,51,114253112.475
8,3,32,7,378.71,-9.043,-5.959,-29.452,51,114253112.519
9,0,33,10,35.08,4.271,-10.953,-21.54,13,90744476.449
9,1,35,10,196.361,4.153,-11.412,-22.407,13,90744476.483
9,2,36,10,185.735,4.494,-11.984,-23.53,23,90744476.526
9,3,37,10,200.619,5.678,-11.757,-25.071,33,90744476.591
9,4,38,10,66.432,5.544,-12.035,-25.643,33,90744476.613
9,5,39,10,23.511,5.521,-11.267,-27.042,42,90744476.666
10,0,40,31,599.981,-21.755,-6.968,-16.55,31,363285066.045
11,0,41,24,523.16,-16.018,11.652,-14.922,13,63266348.417
11,1,43,24,262.18,-15.33,15.697,-16.034,25,63266348.569
11,2,46,24,225.651,-15.717,16.548,-15.145,25,63266348.62
12,0,47,40,714.12,5.225,-14.165,-19.883,13,1674365.976
12,1,48,40,12.833,5.833,-13.187,-20.082,3,1674366.015
12,2,49,14,115.555,6.67,-9.705,-23.367,24,1674366.177
12,3,50,40,150.933,5.761,-15.448,-24.846,43,1674366.377
13,0,51,32,119.673,-16.921,-2.871,-18.086,11,120054631.377
13,1,52,32,25.31,-17.607,-2.273,-18.394,11,120054631.409
13,2,53,29,166.466,-18.562,-1.179,-17.607,13,120054631.465
14,0,54,4,578.073,-10.4,9.02,-21.323,14,104673839.33
14,1,55,4,150.891,-9.922,9.728,-21.763,24,104673839.362
14,2,56,4,48.678,-8.245,8.874,-24.801,25,104673839.481
14,3,57,4,59.044,-9.354,7.652,-27.782,42,104673839.595
14,4,58,4,5.269,-8.715,6.972,-28.218,41,104673839.63
14,5,59,4,199.137,-7.901,6.264,-28.675,41,104673839.669
15,0,60,13,256.123,11.211,-0.456,-20.919,4,21183844.592
15,1,61,16,521.534,18.804,0.52,-24.837,53,21183844.879
15,2,62,16,28.774,18.139,0.753,-24.92,43,21183844.903
15,3,63,16,176.56,17.938,1.355,-24.211,43,21183844.936
16,0,64,12,1013.839,4.261,-1.329,-23.876,4,141965208.828
17,0,65,26,579.908,-9.298,14.495,-19.695,11,105762018.098
17,1,66,26,107.573,-11.085,14.552,-19.529,20,105762018.158
17,2,67,26,295.644,-12.65,16.979,-19.673,30,105762018.255
18,0,68,6,517.205,-3.846,0.475,-29.689,43,50020947.741
18,1,69,6,51.071,-3.771,1.001,-29.919,43,50020947.76
18,2,70,6,149.564,-4.065,2.201,-31.508,53,50020947.827
19,0,71,19,429.026,13.452,14.157,-15.851,15,8680542.698
19,1,72,19,1.692,12.891,16.61,-16.982,20,8680542.789
19,2,73,19,407.781,12.657,17.226,-17.429,30,8680542.816
19,3,74,19,189.281,12.723,16.934,-16.421,20,8680542.852
20,0,75,10,301.771,3.568,-11.613,-23.482,23,61574695.393
20,1,76,10,21.924,3.953,-11.524,-24.102,23,61574695.418
20,2,77,10,304.084,5.439,-11.909,-26.893,43,61574695.524
21,0,78,7,362.911,-8.147,-6.468,-21.03,3,82048117.326
21,1,79,7,205.484,-10.469,-7.134,-22.077,14,82048117.414
21,2,80,32,170.72,-13.624,-6.562,-21.147,24,82048117.525
21,3,81,30,157.831,-18.636,-12.957,-20.117,42,82048117.798
21,4,83,30,46.117,-17.74,-12.85,-20.068,42,82048117.831
21,5,84,30,104.009,-18.293,-10.646,-19.119,31,82048117.917
22,0,85,12,685.052,5.494,-2.225,-23.004,5,30662413.229
22,1,86,12,72.427,4.076,-1.047,-23.322,4,30662413.292
23,0,87,16,185.711,17.44,4.381,-23.136,45,159469525.368
24,0,88,38,207.692,-1.062,-16.907,-20.417,22,147553221.096
24,1,89,38,272.578,-1.053,-20.263,-21.668,41,147553221.215
25,0,90,30,1013.174,-16.831,-7.67,-14.569,0,239005964.462
26,0,91,26,529.732,-8.051,13.994,-20.323,12,28022932.564
26,1,92,26,285.495,-10.28,13.673,-21.119,24,28022932.644
26,2,93,26,57.54,-8.105,13.707,-22.344,33,28022932.727
26,3,95,26,138.993,-8.166,13.003,-21.976,23,28022932.756
27,0,96,40,741.626,5.109,-13.335,-18.853,3,18410899.818
28,0,97,4,594.937,-6.411,5.391,-22.588,1,44519487.791
28,1,98,4,223.054,-6.88,6.279,-22.473,1,44519487.825
28,2,99,4,174.893,-7.198,5.389,-22.403,2,44519487.856
29,0,101,24,1052.791,-14.665,14.307,-19.323,31,45246023.715
30,0,102,21,995.145,2.828,22.115,-13.207,13,34670304.099
31,0,103,0,770.876,2.857,2.142,-23.795,4,22897314.257
32,0,104,10,317.587,3.182,-9.183,-23.621,12,36642331.746
32,1,105,10,52.4,3.533,-10.663,-24.41,23,36642331.804
32,2,106,10,103.897,3.64,-11.185,-24.469,23,36642331.821
32,3,107,10,228.172,3.496,-11.711,-24.757,33,36642331.842
32,4,109,10,126.534,3.395,-11.361,-25.257,33,36642331.866
32,5,110,10,138.421,2.946,-11.185,-24.91,23,36642331.886
33,0,112,8,223.53,-15.957,1.939,-23.83,33,271371186.344
33,1,113,8,147.168,-14.489,1.719,-24.025,33,271371186.393
34,0,115,25,726.175,-10.658,20.541,-14.314,23,35993187.038
34,1,117,25,298.757,-9.778,19.393,-14.535,13,35993187.088
35,0,118,8,761.286,-14.006,0.132,-19.287,2,138681620.64
36,0,119,10,51.164,4.998,-9.144,-25.551,32,161110952.691
36,1,120,10,298.229,5.047,-9.952,-27.013,42,161110952.746
36,2,121,10,413.764,4.032,-10.275,-28.398,42,161110952.805
36,3,122,10,75.971,5.052,-10.133,-28.764,52,161110952.841
36,4,123,10,135.022,2.741,-11.218,-30.005,51,161110953.007
37,0,124,34,201.759,-12.052,-15.285,-24.29,55,105471525.512
38,0,125,33,697.904,-12.198,-15.832,-15.684,11,230043761.75
38,1,126,33,58.109,-11.321,-15.918,-15.502,11,230043761.78
38,2,127,33,190.107,-10.814,-16.427,-13.147,2,230043761.862
39,0,128,22,505.08,0.964,17.657,-18.91,10,263776420.842
39,1,129,22,45.108,1.347,18.798,-18.708,20,263776420.883
39,2,130,21,427.587,3.054,21.294,-19.497,35,263776420.987
40,0,131,33,128.776,-12.882,-16.068,-14.286,12,82667937.93
40,1,132,33,651.514,-12.999,-16.417,-14.748,12,82667937.95
40,2,134,33,60.885,-12.622,-15.762,-14.419,2,82667937.98
40,3,135,33,172.284,-13.778,-16.006,-12.894,13,82667938.043
41,0,136,23,69.754,-5.777,18.142,-22.666,42,104092834.883
41,1,137,23,7.424,-6.596,20.151,-23.862,52,104092834.967
42,0,140,29,968.965,-16.465,3.604,-20.974,21,14976473.061
43,0,141,38,606.328,-0.572,-14.744,-20.309,13,214739184.369
43,1,142,11,18.156,-5.791,-14.937,-22.166,32,214739184.554
